Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00OW5066XL,400,shopify,50,deny,manual,5499,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00OW5068S,400,shopify,50,deny,manual,6199,,true,true,active
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00OW5068M,400,shopify,50,deny,manual,6199,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00OW5068L,400,shopify,50,deny,manual,6199,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00OW5068XL,400,shopify,50,deny,manual,6199,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00OW5069S,400,shopify,50,deny,manual,4699,,true,true,active
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00OW5069M,400,shopify,50,deny,manual,4699,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00OW5069L,400,shopify,50,deny,manual,4699,,true,true,
off-white-embroidered-puff-sleeve-short-dress,Off White Embroidered Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00OW5069XL,400,shopify,50,deny,manual,4699,,true,true,
floral-embroidered-puff-sleeve-short-dress,Floral Embroidered  Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00OW5071S,400,shopify,50,deny,manual,4699,,true,true,active
