Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
cotton-top-with-palazzos-co-ords-set,Cotton Top With Palazzos Co-Ords Set,<p>Cotton Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00PR5232M,400,shopify,,deny,manual,,,true,true,
cotton-top-with-palazzos-co-ords-set,Cotton Top With Palazzos Co-Ords Set,<p>Cotton Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00PR5232L,400,shopify,,deny,manual,,,true,true,
cotton-top-with-palazzos-co-ords-set,Cotton Top With Palazzos Co-Ords Set,<p>Cotton Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00PR5232XL,400,shopify,,deny,manual,,,true,true,
cotton-top-with-palazzos-co-ords-set,Cotton Top With Palazzos Co-Ords Set,<p>Cotton Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00PR5232XXL,400,shopify,,deny,manual,,,true,true,
cotton-tropical-embroidered-shirt-with-trouser-co-ords-set,Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00WH5212S,400,shopify,,deny,manual,,,true,true,active
cotton-tropical-embroidered-shirt-with-trouser-co-ords-set,Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00WH5212M,400,shopify,,deny,manual,,,true,true,
cotton-tropical-embroidered-shirt-with-trouser-co-ords-set,Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00WH5212L,400,shopify,,deny,manual,,,true,true,
cotton-tropical-embroidered-shirt-with-trouser-co-ords-set,Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Tropical Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00WH5212XL,400,shopify,,deny,manual,,,true,true,
cotton-stripe-printed-shirt-and-palazzos-co-ords-set,Cotton Stripe Printed Shirt And Palazzos Co-Ords Set,<p>Cotton Stripe Printed Shirt And Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00OW5098S,400,shopify,,deny,manual,,,true,true,active
cotton-stripe-printed-shirt-and-palazzos-co-ords-set,Cotton Stripe Printed Shirt And Palazzos Co-Ords Set,<p>Cotton Stripe Printed Shirt And Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00OW5098M,400,shopify,,deny,manual,,,true,true,
